horse_name,pp_race_date,pp_track_condition,pp_distance,pp_distance_type,pp_surface,pp_num_entrants,pp_odds,morn_line_odds_if_available,pp_purse,pp_finish_pos,pp_bris_speed_rating,bris_run_style_designation,quirin_style_speed_points,pp_e1_pace,pp_e2_pace,pp_turn_time,pp_bris_late_pace,pace_cluster
BIG BIG STAR,2024-09-19,FM,-1830.0,Sprint,T,10,6.1,8.00,19500,3.0,81.0,E/P,5,82.0,82.0,0.0,82.0,1.0
BIG BIG STAR,2024-10-05,TF,-1870.0,Sprint,T,10,5.2,8.00,19500,1.0,79.0,E/P,5,78.0,74.0,-4.0,81.0,1.0
BIG BIG STAR,2024-10-26,FM,1870.0,Route,T,10,4.4,8.00,27980,1.0,81.0,E/P,5,85.0,93.0,8.0,69.0,0.0
BODE'S MAKER,2023-12-01,FT,1980.0,Route,D,7,1.9,3.50,63520,5.0,78.0,S  ,3,90.0,96.0,6.0,60.0,0.0
BODE'S MAKER,2024-01-05,FT,1980.0,Route,D,6,1.7,3.50,38110,1.0,93.0,S  ,3,80.0,84.0,4.0,98.0,1.0
BODE'S MAKER,2024-01-28,SY,1870.0,Route,D,7,2.2,3.50,40630,3.0,90.0,S  ,3,71.0,77.0,6.0,102.0,1.0
BODE'S MAKER,2024-02-17,FT,1870.0,Route,D,8,12.5,3.50,55190,5.0,90.0,S  ,3,69.0,86.0,17.0,94.0,1.0
BODE'S MAKER,2024-03-30,FT,1870.0,Route,D,8,8.4,3.50,55190,8.0,80.0,S  ,3,73.0,72.0,-1.0,90.0,1.0
BODE'S MAKER,2024-04-21,FM,1870.0,Route,T,8,13.9,3.50,54395,1.0,86.0,S  ,3,74.0,81.0,7.0,91.0,1.0
BODE'S MAKER,2024-05-11,TF,1870.0,Route,T,9,19.9,3.50,102000,4.0,88.0,S  ,3,77.0,83.0,6.0,94.0,1.0
BODE'S MAKER,2024-06-16,FM,2090.0,Route,t,7,17.5,3.50,102000,7.0,76.0,S  ,3,82.0,87.0,5.0,61.0,0.0
BODE'S MAKER,2024-08-01,FM,1980.0,Route,t,7,1.6,3.50,40000,7.0,58.0,S  ,3,45.0,37.0,-8.0,81.0,2.0
BODE'S MAKER,2025-04-07,MY,1870.0,Route,D,8,6.8,3.50,28000,2.0,88.0,S  ,3,58.0,73.0,15.0,101.0,1.0
FUN LOVIN CRIMINAL,2024-07-28,FT,1760.0,Route,D,7,1.4,10.00,54145,5.0,75.0,S  ,0,81.0,85.0,4.0,73.0,0.0
FUN LOVIN CRIMINAL,2024-08-29,FM,1830.0,Route,T,9,15.7,10.00,27000,3.0,77.0,S  ,0,59.0,52.0,-7.0,105.0,1.0
FUN LOVIN CRIMINAL,2024-09-15,FM,1760.0,Route,T,9,3.6,10.00,31205,5.0,79.0,S  ,0,81.0,82.0,1.0,81.0,1.0
FUN LOVIN CRIMINAL,2024-10-19,FT,1870.0,Route,D,7,1.3,10.00,24660,2.0,83.0,S  ,0,68.0,77.0,9.0,89.0,1.0
FUN LOVIN CRIMINAL,2024-11-16,FT,1760.0,Route,D,10,2.9,10.00,27360,3.0,81.0,S  ,0,77.0,82.0,5.0,83.0,1.0
FUN LOVIN CRIMINAL,2024-12-08,FT,1760.0,Route,D,8,3.4,10.00,29600,3.0,88.0,S  ,0,84.0,97.0,13.0,82.0,0.0
FUN LOVIN CRIMINAL,2025-02-01,FT,1870.0,Route,D,9,3.0,10.00,26200,1.0,84.0,S  ,0,72.0,73.0,1.0,95.0,1.0
FUN LOVIN CRIMINAL,2025-03-01,FT,1980.0,Route,D,6,2.8,10.00,24360,2.0,94.0,S  ,0,76.0,88.0,12.0,96.0,1.0
FUN LOVIN CRIMINAL,2025-03-09,FT,1870.0,Route,D,6,1.6,10.00,29000,3.0,85.0,S  ,0,86.0,85.0,-1.0,86.0,1.0
FUN LOVIN CRIMINAL,2025-04-05,FT,1870.0,Route,D,8,3.6,10.00,24960,2.0,84.0,S  ,0,72.0,77.0,5.0,91.0,1.0
SAKETUMI,2023-05-06,FM,1760.0,Route,T,7,55.4,12.00,68810,6.0,82.0,E/P,5,97.0,95.0,-2.0,73.0,0.0
SAKETUMI,2023-06-09,FM,1870.0,Route,T,7,1.0,12.00,28000,2.0,89.0,E/P,5,93.0,97.0,4.0,80.0,0.0
SAKETUMI,2023-07-19,FT,1830.0,Route,D,9,4.0,12.00,32000,3.0,81.0,E/P,5,79.0,79.0,0.0,85.0,1.0
SAKETUMI,2023-08-04,FM,1830.0,Route,T,9,2.4,12.00,28000,3.0,79.0,E/P,5,85.0,77.0,-8.0,82.0,1.0
SAKETUMI,2023-08-23,FM,1870.0,Route,T,8,3.9,12.00,28000,6.0,71.0,E/P,5,70.0,70.0,0.0,75.0,1.0
SAKETUMI,2023-10-26,FT,1980.0,Route,D,12,25.9,12.00,32000,6.0,74.0,E/P,5,81.0,76.0,-5.0,71.0,1.0
SAKETUMI,2023-11-16,FM,1760.0,Route,T,10,26.6,12.00,49820,6.0,80.0,E/P,5,79.0,85.0,6.0,79.0,1.0
SAKETUMI,2024-05-28,FT,1760.0,Route,D,9,14.4,12.00,32000,7.0,70.0,E/P,5,68.0,64.0,-4.0,85.0,1.0
SAKETUMI,2024-06-11,FM,1870.0,Route,T,10,3.1,12.00,31000,1.0,74.0,E/P,5,64.0,62.0,-2.0,88.0,1.0
SAKETUMI,2024-08-01,FM,1870.0,Route,T,8,8.2,12.00,32000,7.0,74.0,E/P,5,85.0,86.0,1.0,65.0,0.0
SELL SOMETHING,2023-07-02,FM,1980.0,Route,t,9,11.5,5.00,80000,9.0,69.0,P  ,2,76.0,73.0,-3.0,64.0,2.0
SELL SOMETHING,2023-08-05,FT,1760.0,Route,D,5,10.3,5.00,95000,4.0,71.0,P  ,2,81.0,83.0,2.0,66.0,0.0
SELL SOMETHING,2023-10-04,FM,1760.0,Route,T,10,24.0,5.00,100000,9.0,74.0,P  ,2,95.0,91.0,-4.0,64.0,0.0
SELL SOMETHING,2023-11-16,FM,1870.0,Route,t,12,13.2,5.00,75000,2.0,84.0,P  ,2,97.0,89.0,-8.0,79.0,0.0
SELL SOMETHING,2024-05-24,FM,1870.0,Route,T,8,10.8,5.00,85000,7.0,62.0,P  ,2,65.0,68.0,3.0,63.0,2.0
SELL SOMETHING,2024-06-21,FM,1760.0,Route,T,9,26.25,5.00,85000,7.0,65.0,P  ,2,68.0,67.0,-1.0,73.0,2.0
SELL SOMETHING,2024-07-21,FM,1870.0,Route,T,12,44.0,5.00,100000,9.0,84.0,P  ,2,86.0,91.0,5.0,78.0,0.0
SELL SOMETHING,2024-08-17,TF,1870.0,Route,t,9,41.25,5.00,100000,9.0,32.0,P  ,2,64.0,55.0,-9.0,24.0,2.0
SELL SOMETHING,2024-10-10,FM,1760.0,Route,T,10,45.5,5.00,58000,6.0,67.0,P  ,2,73.0,62.0,-11.0,81.0,1.0
SELL SOMETHING,2024-10-26,FM,1980.0,Route,T,8,15.9,5.00,29600,3.0,77.0,P  ,2,61.0,61.0,0.0,90.0,1.0
THE LAST SCIP,2023-09-08,FT,1320.0,Sprint,D,7,23.3,8.00,48300,6.0,50.0,P  ,4,70.0,72.0,2.0,64.0,2.0
THE LAST SCIP,2023-10-14,FM,1870.0,Route,T,14,10.6,8.00,51000,5.0,80.0,P  ,4,75.0,75.0,0.0,85.0,1.0
THE LAST SCIP,2023-11-18,FM,1760.0,Route,T,10,6.1,8.00,27590,3.0,80.0,P  ,4,82.0,86.0,4.0,77.0,0.0
THE LAST SCIP,2024-05-24,TF,1870.0,Route,T,11,7.7,8.00,28020,1.0,90.0,P  ,4,95.0,100.0,5.0,78.0,0.0
THE LAST SCIP,2024-06-23,FM,1760.0,Route,T,9,3.4,8.00,32510,1.0,80.0,P  ,4,77.0,82.0,5.0,82.0,1.0
THE LAST SCIP,2024-07-19,FM,1870.0,Route,T,9,4.3,8.00,32945,3.0,82.0,P  ,4,76.0,72.0,-4.0,93.0,1.0
THE LAST SCIP,2024-08-29,FM,1830.0,Route,T,9,15.5,8.00,27000,8.0,70.0,P  ,4,58.0,50.0,-8.0,95.0,1.0
THE LAST SCIP,2024-10-12,FM,1870.0,Route,T,12,4.3,8.00,51015,2.0,79.0,P  ,4,81.0,72.0,-9.0,88.0,1.0
THE LAST SCIP,2024-10-26,FM,1760.0,Route,T,10,6.3,8.00,49200,2.0,80.0,P  ,4,90.0,88.0,-2.0,77.0,0.0
THE LAST SCIP,2024-12-08,FT,1760.0,Route,D,8,16.8,8.00,29600,7.0,85.0,P  ,4,85.0,96.0,11.0,77.0,0.0
TRANSACTIONAL,2022-08-19,FM,1870.0,Route,T,6,0.3,20.00,105000,1.0,86.0,E/P,7,91.0,95.0,4.0,77.0,0.0
TRANSACTIONAL,2022-09-24,FM,1870.0,Route,T,7,2.8,20.00,105000,6.0,82.0,E/P,7,79.0,83.0,4.0,81.0,1.0
TRANSACTIONAL,2022-11-20,FM,1870.0,Route,t,12,2.0,20.00,90000,5.0,87.0,E/P,7,93.0,98.0,5.0,75.0,0.0
TRANSACTIONAL,2024-07-13,FM,1870.0,Route,t,8,1.15,20.00,110000,6.0,82.0,E/P,7,85.0,83.0,-2.0,82.0,1.0
TRANSACTIONAL,2024-08-23,FM,1870.0,Route,T,8,1.45,20.00,60000,1.0,90.0,E/P,7,105.0,108.0,3.0,70.0,0.0
TRANSACTIONAL,2024-10-05,FM,1870.0,Route,T,11,0.95,20.00,65000,7.0,76.0,E/P,7,79.0,79.0,0.0,74.0,1.0
TRANSACTIONAL,2024-12-27,MY,1870.0,Route,D,8,3.8,20.00,26000,8.0,54.0,E/P,7,92.0,86.0,-6.0,33.0,2.0
TRANSACTIONAL,2025-01-31,FM,1760.0,Route,T,10,1.2,20.00,17000,2.0,78.0,E/P,7,91.0,92.0,1.0,69.0,0.0
TRANSACTIONAL,2025-02-22,FM,1870.0,Route,T,7,1.5,20.00,17000,4.0,71.0,E/P,7,77.0,75.0,-2.0,70.0,1.0
TRANSACTIONAL,2025-05-02,FM,1320.0,Sprint,t,10,24.0,20.00,65000,10.0,58.0,E/P,7,92.0,89.0,-3.0,57.0,0.0
UNINVITED GUEST,2024-04-12,FT,1760.0,Route,D,8,2.0,6.00,68000,5.0,81.0,P  ,0,72.0,70.0,-2.0,96.0,1.0
UNINVITED GUEST,2024-06-12,FM,1830.0,Route,T,8,2.2,6.00,52000,2.0,75.0,P  ,0,78.0,74.0,-4.0,80.0,1.0
UNINVITED GUEST,2024-07-05,FT,1760.0,Route,D,7,4.7,6.00,58865,5.0,81.0,P  ,0,72.0,79.0,7.0,88.0,1.0
UNINVITED GUEST,2024-08-01,FM,-1870.0,Sprint,T,7,6.5,6.00,42000,3.0,79.0,P  ,0,80.0,79.0,-1.0,82.0,1.0
UNINVITED GUEST,2024-09-04,FM,1830.0,Route,T,8,4.2,6.00,29000,4.0,84.0,P  ,0,82.0,77.0,-5.0,93.0,1.0
UNINVITED GUEST,2024-09-27,SY,1760.0,Route,D,6,1.4,6.00,58565,2.0,87.0,P  ,0,84.0,86.0,2.0,90.0,1.0
UNINVITED GUEST,2024-10-13,FT,1870.0,Route,D,8,7.1,6.00,53600,6.0,83.0,P  ,0,80.0,87.0,7.0,81.0,0.0
UNINVITED GUEST,2024-11-02,FM,1980.0,Route,T,11,10.9,6.00,54500,6.0,79.0,P  ,0,72.0,75.0,3.0,81.0,1.0
UNINVITED GUEST,2024-12-16,SY,1830.0,Route,D,6,2.6,6.00,35000,6.0,77.0,P  ,0,78.0,86.0,8.0,72.0,0.0
UNINVITED GUEST,2025-02-13,SY,1760.0,Route,D,7,1.05,6.00,44000,6.0,70.0,P  ,0,71.0,72.0,1.0,77.0,1.0
WISH ME HOME,2023-07-15,TF,1870.0,Route,T,8,2.0,2.50,60270,1.0,88.0,E/P,4,92.0,98.0,6.0,77.0,0.0
WISH ME HOME,2023-08-19,FM,1870.0,Route,T,9,7.4,2.50,75000,3.0,85.0,E/P,4,85.0,90.0,5.0,81.0,0.0
WISH ME HOME,2023-10-19,FM,1760.0,Route,T,10,6.6,2.50,60070,5.0,87.0,E/P,4,88.0,100.0,12.0,77.0,0.0
WISH ME HOME,2023-11-05,FM,1870.0,Route,T,6,5.5,2.50,60610,5.0,87.0,E/P,4,91.0,100.0,9.0,73.0,0.0
WISH ME HOME,2024-04-21,FM,1870.0,Route,T,8,7.0,2.50,54395,4.0,85.0,E/P,4,81.0,91.0,10.0,79.0,0.0
WISH ME HOME,2024-07-05,FM,1760.0,Route,T,9,4.7,2.50,53900,5.0,83.0,E/P,4,100.0,105.0,5.0,65.0,0.0
WISH ME HOME,2024-08-16,FM,1870.0,Route,T,8,1.5,2.50,40930,1.0,84.0,E/P,4,91.0,98.0,7.0,70.0,0.0
WISH ME HOME,2024-09-15,FM,1760.0,Route,T,9,1.7,2.50,31205,2.0,84.0,E/P,4,90.0,94.0,4.0,77.0,0.0
WISH ME HOME,2024-11-29,FM,-1870.0,Sprint,T,8,1.9,2.50,30000,1.0,86.0,E/P,4,88.0,92.0,4.0,65.0,0.0
WISH ME HOME,2024-12-20,FM,1870.0,Route,T,5,1.8,2.50,30000,3.0,79.0,E/P,4,84.0,86.0,2.0,73.0,0.0
YOUR ANALYSIS,2024-06-19,FT,1830.0,Route,D,6,4.1,2.50,42000,3.0,86.0,P  ,0,72.0,77.0,5.0,96.0,1.0
YOUR ANALYSIS,2024-07-05,FT,1760.0,Route,D,7,3.2,2.50,58865,6.0,81.0,P  ,0,73.0,77.0,4.0,90.0,1.0
YOUR ANALYSIS,2024-07-12,FT,1830.0,Route,D,7,3.4,2.50,57500,2.0,91.0,P  ,0,80.0,89.0,9.0,91.0,1.0
YOUR ANALYSIS,2024-08-02,FT,1870.0,Route,D,6,2.5,2.50,55385,4.0,92.0,P  ,0,77.0,87.0,10.0,95.0,1.0
YOUR ANALYSIS,2024-08-24,FT,1830.0,Route,D,7,1.8,2.50,57500,5.0,84.0,P  ,0,85.0,87.0,2.0,83.0,0.0
YOUR ANALYSIS,2024-10-13,FT,1870.0,Route,D,8,5.7,2.50,53600,4.0,88.0,P  ,0,80.0,92.0,12.0,83.0,0.0
YOUR ANALYSIS,2024-11-28,MY,1870.0,Route,D,5,5.5,2.50,54325,3.0,91.0,P  ,0,93.0,96.0,3.0,84.0,0.0
YOUR ANALYSIS,2024-12-15,FT,1760.0,Route,D,10,3.0,2.50,54200,5.0,85.0,P  ,0,86.0,85.0,-1.0,89.0,1.0
YOUR ANALYSIS,2025-02-21,FT,1870.0,Route,D,6,8.1,2.50,58565,6.0,90.0,P  ,0,84.0,90.0,6.0,90.0,1.0
YOUR ANALYSIS,2025-04-05,FT,1870.0,Route,D,6,2.6,2.50,37000,5.0,85.0,P  ,0,71.0,82.0,11.0,89.0,1.0
