race,horse_name,earnings_class_score,hidden_class_score,overall_class_rating,hidden_vs_earnings_diff
6,BUILT,58.82422868828701,72.38138194846017,53.18531749426721,13.557153260173166
14,BON TEMPS,32.990043643880114,46.457692307692305,42.53282733205374,13.467648663812192
8,GIANT MISCHIEF,62.7966261290623,76.00208956631853,56.05910862797359,13.205463437256235
7,ONE TIMER,56.038848167356505,69.1015086327495,53.447934265135274,13.062660465392995
4,INVEIGLED,54.31666666666667,67.20697321941978,62.10459196582593,12.89030655275311
7,NOBALS,56.045820433647464,68.6102442653739,57.05369247475353,12.56442383172643
13,CLASSIC TIME,44.93633802816901,57.333672993979576,42.42145401086992,12.397334965810565
6,PERFECT FORCE,54.3,66.36738501981483,55.59521550594445,12.067385019814836
7,EAMONN,46.77375,58.60846153846154,46.13072596153846,11.83471153846154
14,INTO THIN AIR,44.25,56.0451303648957,54.226039109468715,11.795130364895698
11,GIGANTE,63.85302142739796,75.62903165061083,62.672569137512326,11.776010223212865
1,BOURBON SOCIETY,30.848488005050505,42.574230769230766,44.15408883304195,11.72574276418026
14,HARBE,40.1,51.77659619930166,51.0779788597905,11.676596199301656
2,IZZY'S MONSTER,35.65393215960417,47.29796767317336,41.48365977377389,11.644035513569193
2,SECRET STATEMENT,38.254010298747794,49.82653846153846,47.16226617289804,11.572528162790668
7,ROGUE LIGHTNING,59.30882352941177,70.8573639623675,56.69617977694554,11.548540432955733
4,KEEN CAT,37.734933228180864,49.22458555582642,42.998095619429314,11.489652327645558
4,IMPLEMENTATION,53.61633635499671,65.08038461538462,62.4014667443639,11.464048260387905
2,HOME GAME,45.215410733175354,56.66923076923077,44.847704060698135,11.453820036055419
13,TINY LAKE,40.542857142857144,51.58303469649812,44.96919612323515,11.040177553640973
1,KNICKS GATE,38.181,48.915941395160516,49.35623241854815,10.734941395160519
14,BLISTERING,33.07,43.04346153846154,45.294538461538465,9.973461538461542
11,BRILLIANT BERTI,50.912171701165,60.861538461538466,46.16893880398579,9.949366760373465
5,POOLSIDE WITH SLIM,51.61363647657844,61.25038461538461,46.60125179907568,9.636748138806169
12,CITIZEN BULL,67.50422111196515,76.88423242784502,58.442169228737825,9.38001131587987
14,DELTA TAU CHI,42.21,51.44680314428552,51.928540943285654,9.236803144285517
10,TAXED,58.627131249288546,67.8478800539531,54.23657307836578,9.22074880466456
14,ARTHUR JR,35.287231939619026,44.46153846153847,46.7177159112901,9.17430652191944
12,RENDER JUDGMENT,59.93056352043155,69.08069656290056,48.94296255306436,9.150133042469008
3,VAMOS CARLITOS,37.886887433584576,46.74,32.32109934511306,8.853112566415426
11,TAKING CANDY,65.51815711845987,74.26797991399889,60.51356467750661,8.749822795539018
12,AMERICAN PROMISE,65.56666666666666,74.22497804951747,56.77249341485524,8.658311382850812
9,MAXIMUM PROMISE,51.93999268957268,60.56088219042163,46.541261367434196,8.620889500848953
6,GAMING,63.73430956423316,72.12543584322913,59.06807005687366,8.39112627899597
13,JOEJOE GO,43.73145161290323,51.509107434480406,40.13188545615057,7.777655821577177
2,NORMANDY QUEEN,44.1988195302843,51.808010821797325,40.43187203516713,7.609191291513028
8,MINDFRAME,68.30480474542759,75.89056476236341,62.254331564151435,7.585760016935822
1,SANSONE,48.225,55.6167980526102,55.88628941578306,7.3917980526101985
11,IDRATHERBEBLESSED,54.31071428571428,61.69173443688626,50.447341759637304,7.381020151171974
1,COFFEE TALK,37.95,45.230769230769226,48.14673076923077,7.2807692307692236
12,NEOEQUOS,60.9013418270534,68.16675774766361,56.605631146473115,7.265415920610209
12,OWEN ALMIGHTY,63.17719840004432,70.43164634024659,58.30923318209392,7.254447940202269
14,ADVANCED SPIRIT,49.0,56.02631230252235,56.357893690756704,7.026312302522349
7,COPPOLA,59.3473985370657,66.37031815806948,54.11742478910041,7.02291962100378
10,DORTH VADER,51.691569230769225,58.50423076923077,48.31247538461538,6.812661538461548
10,HOPE ROAD,58.34705882352941,65.03846153846155,50.767714932126694,6.6914027149321385
10,EMERY,66.75955880509059,73.25881691523662,60.76944653686175,6.49925811014603
13,JACK'S PROMISE,38.43620315046171,44.84615384615385,42.00013757155392,6.409950695692139
3,RACING DRIVER,40.53,46.911203479728584,42.311861043918576,6.381203479728583
11,RUNNING BEE,63.4861002901067,69.84823182339335,53.27321467756602,6.36213153328665
13,TOUCHY,58.93010820332159,65.03846153846155,58.53008715303318,6.1083533351399595
6,MADAKET ROAD,70.144,75.91221728158568,63.08846518447571,5.768217281585677
9,MAUI STRONG,59.2489336492891,64.88226911766095,54.876700877478385,5.633335468371854
1,MONEY MAN,33.7696,39.269230769230774,44.47708923076923,5.499630769230777
8,TEJANO TWIST,59.380632089460974,64.87846153846154,53.6848229017959,5.497829449000562
5,SACRED WISH,62.89035019671888,68.27902024464403,65.0343636619167,5.388670047925153
10,VAHVA,70.57478881511415,75.9272504524755,62.036830102544016,5.352461637361358
9,MI BAGO,64.10070880610363,69.23576775061913,53.36604928793237,5.135058944515507
14,SEND COINS,37.75,42.88273641580374,47.35232092474112,5.132736415803741
9,MEGALODON,54.617,59.652594849435545,51.22342845483066,5.035594849435547
