race,horse_name,post_position,morn_line_odds_if_available,final_rating,overall_rank,integrated_fitness_score,form_cycle_state,pace_advantage,class_move_projection,key_angles,prediction_confidence
14,UNDISPUTED,1,8.0,99.80184288222058,4.0,55.63931325289437,,Even_chance,Appropriate_level,None,75
14,KEEPINITREAL,7,2.0,99.17286516214595,5.0,51.23165035989666,,Even_chance,Appropriate_level,None,75
14,SANZIO,13,20.0,94.49438719501272,6.0,53.98075506443095,STABLE,Even_chance,Appropriate_level,None,85
14,COLLEGE HUNK,11,30.0,92.83536187065069,7.0,53.38898300462002,,Even_chance,Appropriate_level,None,75
14,MOZAMBIQUE,4,10.0,90.80157412391945,8.0,51.12276864295075,,Even_chance,Appropriate_level,None,75
14,STATE OF READINESS,10,50.0,88.51110131005738,9.0,54.1628148951049,,Even_chance,Appropriate_level,None,75
14,DARK MAGIC,2,20.0,87.49995604701519,10.0,51.76964887365061,,Even_chance,Appropriate_level,None,75
14,IRON DOME,15,2.0,83.77093341025959,11.0,49.42903282714637,STABLE,Even_chance,Appropriate_level,None,85
14,HIT THE POST,5,15.0,81.36498896936644,12.0,37.28081304016257,STABLE,Even_chance,Appropriate_level,None,85
14,SPEIGHTFUL STORM,6,12.0,51.376820783210235,13.0,53.94204976689977,,,,None,70
14,COACH PITINO,9,20.0,51.11744230060327,14.0,53.28649704630232,,,,None,70
14,SOLO JIM,8,12.0,50.91790986691441,15.0,52.49808351648352,,,,None,70
