race,horse_name,post_position,overall_class_rating,class_rank,class_category,class_edge,earnings_class_score,hidden_class_score,class_move_direction
10,VAHVA,7,62.036830102544016,1.0,Allowance,None,70.57478881511415,75.9272504524755,Up
10,MYSTIC LAKE,6,61.40585472747673,2.0,Allowance,None,66.89273896064884,66.84707398394917,Up
10,KOPION,2,61.215885650470284,3.0,Allowance,Rising_star,68.23992805755395,72.52639341523668,Up
10,EMERY,9,60.76944653686175,4.0,Allowance,None,66.75955880509059,73.25881691523662,Up
10,SCYLLA,1,59.61639200557615,5.0,Claiming,Rising_star,69.54924719187864,65.23076923076923,Up
10,POSITANO SUNSET,11,58.99096874999999,6.0,Claiming,Rising_star,66.834375,58.885,Up
10,BENEDETTA,3,56.25953246241133,7.0,Claiming,Hidden_quality,58.59583850042927,74.63801712406053,Up
10,WAYS AND MEANS,8,55.96663602400784,8.0,Claiming,Rising_star,69.77201167728238,65.23076923076923,Up
10,TAXED,14,54.23657307836578,9.0,Claiming,None,58.627131249288546,67.8478800539531,Lateral
10,MY MANE SQUEEZE,13,53.291753522834995,10.0,Claiming,None,62.67868304219742,58.621153846153845,Up
10,GRAND JOB,15,52.46194986927287,11.0,Claiming,Hidden_quality,50.72309529642332,69.62185661960794,Up
10,HAULIN ICE,5,51.40999612676359,12.0,Claiming,Rising_star,63.80623070904729,63.1573076923077,Up
10,HOPE ROAD,12,50.767714932126694,13.0,Claiming,None,58.34705882352941,65.03846153846155,Up
10,DORTH VADER,10,48.31247538461538,14.0,Claiming,None,51.691569230769225,58.50423076923077,Up
10,MISS SUSAN B,16,40.74183408806471,15.0,Claiming,"Hidden_quality, Rising_star",33.92561818181818,51.584353020821766,Up
10,AWESOME TREAT,4,37.88847366376034,16.0,Low,Hidden_quality,37.63250557758706,57.34615384615385,Up
11,INTEGRATION,1,66.51615212609813,1.0,Allowance,Rising_star,70.69227180906779,74.01543270672545,Up
11,GIGANTE,12,62.672569137512326,2.0,Allowance,None,63.85302142739796,75.62903165061083,Up
11,SPIRIT OF ST LOUIS,10,62.36498834758666,3.0,Allowance,Rising_star,71.406,75.77429449195552,Up
11,TAKING CANDY,6,60.51356467750661,4.0,Allowance,Rising_star,65.51815711845987,74.26797991399889,Up
11,MERCANTE,9,55.950891945082006,5.0,Claiming,Rising_star,64.8703581685583,60.03076923076923,Up
11,GOLD PHOENIX,2,53.60562291749216,6.0,Claiming,None,55.803312720848055,69.9804406437018,Up
11,RUNNING BEE,7,53.27321467756602,7.0,Claiming,Rising_star,63.4861002901067,69.84823182339335,Up
11,HIGHWAY ROBBER,3,50.85621101211613,8.0,Claiming,Hidden_quality,49.37,70.46570337372043,Up
11,IDRATHERBEBLESSED,5,50.447341759637304,9.0,Claiming,Rising_star,54.31071428571428,61.69173443688626,Up
11,CAMEO PERFORMANCE,8,49.285970899294895,10.0,Claiming,Hidden_quality,51.942372471044045,69.70634429108357,Up
