race,horse_name,post_position,age,composite_fitness_score,fitness_category,fitness_rank,improving,recovery_score,form_momentum_score,cardiovascular_fitness_score,sectional_improvement_score,energy_efficiency_score
10,PADIDDLE,2,2005,39.35265285833751,Poor,8.0,True,76.96397911126434,10.52496602821519,57.46823722489634,1.1587347856491803,40.0
10,PARCHMENT PARTY,13,2004,36.681211701954645,Poor,9.0,False,75.14772930752859,-48.92522104779216,100.0,1.8647619519914347,42.0
10,GRAND SONATA,8,2006,31.58423666131128,Poor,10.0,False,100.0,-14.087280936993828,52.180032610071144,-0.5873317052096466,2.0
10,YO DADDY,11,2004,22.80805985671735,Poor,11.0,False,71.21459312923021,-40.92313554328408,19.6,2.9569015543579744,34.0
10,THE GINGER WIZARD,6,2004,16.508809763900533,Poor,12.0,False,92.92620346217639,-73.78083145196368,0.0,2.407486573190479,27.5
10,TAWNY PORT,9,2006,7.779405829512598,Poor,13.0,False,60.87145766861767,-100.0,34.2617599104537,1.543217398004217,0.0
11,GOOD CHEER,2,2003,52.766755434360995,Fair,1.0,True,100.0,77.2292182218021,49.2,4.171314384363845,36.0
11,BLESS THE BROKEN,5,2003,51.47042318179848,Fair,2.0,True,85.66808613785454,89.31951939763161,41.8125,4.022433555304729,38.0
11,LOOK FORWARD,6,2003,48.719543779596016,Fair,3.0,True,82.66250223828146,100.0,50.583333333333336,3.071427105961278,6.0
11,SHRED THE GNAR,4,2003,46.21083123282168,Fair,4.0,False,100.0,58.02056226244758,50.5,-1.255574865517496,20.0
11,QUICKICK,7,2003,38.573877015037205,Poor,5.0,True,55.00906058930737,44.9644968802981,33.550000000000004,1.91970462061776,46.0
11,LA CARA,3,2003,17.140025285437684,Poor,6.0,False,73.73520506392033,-12.881271780860196,5.299999999999997,3.3528850962326557,-16.666666666666668
11,SCOTTISH LASSIE,1,2003,8.386249568328028,Poor,7.0,False,49.37160164535523,-100.0,15.416666666666664,3.029229097946269,12.5
12,GIMME A NOTHER,3,2005,63.62261054878464,Good,1.0,True,76.46583212387667,100.0,89.625,0.6448311688311679,45.0
12,FOREVER AFTER ALL,1,2006,59.58472455894911,Fair,2.0,True,80.47771918413059,71.33917788798726,100.0,5.691450281576797,50.0
12,MIWA,4,2004,57.0531861190481,Fair,3.0,False,,19.819116714288604,92.5,,80.0
12,BELLEZZA,6,2004,44.99824793798101,Fair,4.0,False,,-0.010512372113918013,100.0,,20.0
12,IMMENSITUDE,2,2005,42.437217589741316,Fair,5.0,True,59.0780082404447,31.903266950980402,96.06564771146809,1.576382635554682,16.0
12,SHE FEELS PRETTY,8,2004,39.42594562271107,Poor,6.0,True,64.53108414610351,30.328984006986566,61.71,5.985605583176321,24.0
12,BEACH BOMB,7,2005,30.185815346107344,Poor,7.0,False,54.30400672280434,-28.86568649798999,100.0,-0.9900948148369633,6.666666666666667
12,EDICT,5,2005,15.964994874202688,Poor,8.0,False,66.71837256838968,-42.05050626844033,41.166666666666664,3.288769611933431,-23.333333333333332
13,SIMPLY IN FRONT,4,2004,48.295273548377075,Fair,1.0,True,82.17192503414759,57.856819311577205,55.6875,0.05539694453765043,44.0
13,DYNAMIC PRICING,1,2004,46.95016691107592,Fair,2.0,True,67.76903405697462,48.30485621751796,74.30000000000001,3.32711119196295,38.0
13,SEGESTA,3,2004,45.14091329074015,Fair,3.0,True,100.0,82.70351977790641,26.689999999999998,7.451959966534497,4.0
13,A LILAC ROLLA,7,2004,42.88316054201497,Fair,4.0,False,,7.2989632520898144,,,
13,HEREDIA,10,2006,42.56000003240121,Fair,5.0,False,,-14.999999805592715,70.36,,50.0
13,EXCELLENT TRUTH,8,2005,40.33345730390411,Fair,6.0,False,,-2.4992561765753143,44.5,,50.0
13,DO GOODER,6,2004,38.56732978899826,Poor,7.0,True,82.35232435811342,100.0,23.0,2.718321042542763,-46.666666666666664
13,KEHOE BEACH,5,2004,35.04102639603388,Poor,8.0,True,59.3132847450791,65.78062147680977,30.0,0.15225215431441655,-15.0
13,CHOISYA,9,2005,33.12891457331417,Poor,9.0,False,,-1.226512560115014,30.0,,20.0
13,SPECIAL WAN,2,2005,31.3248021385551,Poor,10.0,False,78.28408388353701,-0.2837480774066985,36.625,3.3234770252002965,20.0
13,SACRED WISH,11,2005,20.205243182343974,Poor,11.0,False,59.230271064104606,-68.11035586252962,63.45,0.6615438924888567,16.0
14,SPEIGHTFUL STORM,6,2003,53.333333333333336,Fair,1.0,False,,,,,
14,SOLO JIM,8,2003,50.0,Fair,2.0,False,,,,,
14,COACH PITINO,9,2005,50.0,Fair,2.0,False,,,,,
14,TERMINAL VELOCITY,3,2003,42.833333333333336,Fair,4.0,False,,,47.0,,10.0
14,STATE OF READINESS,10,2004,41.5,Fair,5.0,False,,,59.0,,-10.0
14,UNDISPUTED,1,2003,40.94227272727273,Fair,6.0,False,100.0,,42.0,-1.3463636363636373,5.0
14,POPPY'S TICKET,14,2003,40.916666666666664,Fair,7.0,False,,,45.5,,0.0
14,COLLEGE HUNK,11,2003,38.0,Poor,8.0,False,,,38.0,,-10.0
14,SANZIO,13,2003,37.077859907580894,Poor,9.0,False,82.66250223828146,8.331517946690832,48.875,2.5981392605130735,30.0
14,COUNTER MOVE,12,2003,32.205365429958526,Poor,10.0,False,100.0,9.967538153442874,35.445,1.152987759641621,-3.3333333333333335
14,DARK MAGIC,2,2003,31.517151030011416,Poor,11.0,False,0.0024132223220038043,,62.375,1.7254929577464786,25.0
14,MOZAMBIQUE,4,2003,29.938694116118143,Poor,12.0,False,8.666775086319271,,53.75,2.215389610389611,15.0
14,KEEPINITREAL,7,2003,29.493155620021366,Poor,13.0,False,2.7938021411808185,,52.07,2.0951315789473686,0.0
14,IRON DOME,15,2003,29.190660150956386,Poor,14.0,False,97.32261485664948,9.282047782909071,36.75,-1.5440350671535854,-16.666666666666668
14,HIT THE POST,5,2003,-3.688662329663513,,15.0,False,0.04141405268863618,-100.0,27.0,0.8266119693302802,0.0
